function,offset,target addr,instruction,type
__startup_64,0x3d8,0xffffffff8319e6b8,CALL 0xffffffff8319e6b8,direct call
__startup_64,0x40a,ctx->rax,"MOV qword ptr [RAX],R10",write other [TODO]
__startup_64,0x43a,ctx->r12 + ctx->rcx * 0x8,"MOV qword ptr [R12 + RCX*0x8],RDX",write other [TODO]
__startup_64,0x43e,ctx->r12 + ctx->rcx * 0x8 + 0x8,"MOV qword ptr [R12 + RCX*0x8 + 0x8],RDX",write other [TODO]
__startup_64,0x460,,RET,ret
startup_64_setup_env,0xe,0xffffffff82e18032,"MOV qword ptr [0xffffffff82e18032],RAX",write .data
startup_64_setup_env,0x5a,0xffffffff810008b0,CALL 0xffffffff810008b0,direct call
startup_64_setup_env,0x5f,ctx->rbx + 0x2,"MOV qword ptr [RBX + 0x2],R12",write other [TODO]
startup_64_setup_env,0x6a,,RET,ret
asm_cpu_bringup_and_idle,0x0,0xffffffff81030f50,CALL 0xffffffff81030f50,direct call
set_bringup_idt_handler.constprop.0,0x20,ctx->rsp + 0x18,"MOV qword ptr [RSP + 0x18],RAX",write stack
set_bringup_idt_handler.constprop.0,0x2e,ctx->rsp + 0x8,"MOV qword ptr [RSP + 0x8],0x0",write stack
set_bringup_idt_handler.constprop.0,0x37,ctx->rsp + 0x9,"MOV byte ptr [RSP + 0x9],0x8e",write stack
set_bringup_idt_handler.constprop.0,0x47,ctx->rsp + 0x10,"MOV qword ptr [RSP + 0x10],0x0",write stack
set_bringup_idt_handler.constprop.0,0x54,ctx->rdi + 0x1d8,"MOV qword ptr [RDI + 0x1d8],RSI",write other [TODO]
set_bringup_idt_handler.constprop.0,0x61,ctx->rdi + 0x1d0,"MOV qword ptr [RDI + 0x1d0],RAX",write other [TODO]
set_bringup_idt_handler.constprop.0,0x79,,RET,ret
set_bringup_idt_handler.constprop.0,0x7a,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
early_setup_idt,0x4,0xffffffff81085330,CALL 0xffffffff81085330,direct call
early_setup_idt,0x17,0xffffffff810008b0,CALL 0xffffffff810008b0,direct call
early_setup_idt,0x1c,0xffffffff82e18022,"MOV qword ptr [0xffffffff82e18022],-0x7d1fc000",write .data
early_setup_idt,0x2f,,RET,ret
__traceiter_initcall_level,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
__traceiter_initcall_level,0x29,ctx->rax,CALL RAX,in-direct call
__traceiter_initcall_level,0x37,,RET,ret
__traceiter_initcall_start,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
__traceiter_initcall_start,0x29,ctx->rax,CALL RAX,in-direct call
__traceiter_initcall_start,0x37,,RET,ret
__traceiter_initcall_finish,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
__traceiter_initcall_finish,0x31,ctx->rax,CALL RAX,in-direct call
__traceiter_initcall_finish,0x41,,RET,ret
hackme_write,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
hackme_write,0xd,,RET,ret
hackme_read,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
hackme_read,0x28,ctx->rbp - 0x20,"MOV qword ptr [RBP + -0x20],RAX",write stack
hackme_read,0x2e,ctx->rbp - 0x80,"MOV qword ptr [RBP + -0x80],0x0",write stack
hackme_read,0x36,ctx->rbp - 0xa0,"MOV qword ptr [RBP + -0xa0],0x0",write stack
hackme_read,0x41,ctx->rbp - 0x98,"MOV qword ptr [RBP + -0x98],0x0",write stack
hackme_read,0x4c,ctx->rbp - 0x90,"MOV qword ptr [RBP + -0x90],0x0",write stack
hackme_read,0x57,ctx->rbp - 0x88,"MOV qword ptr [RBP + -0x88],0x0",write stack
hackme_read,0x62,ctx->rbp - 0x78,"MOV qword ptr [RBP + -0x78],0x0",write stack
hackme_read,0x6a,ctx->rbp - 0x70,"MOV qword ptr [RBP + -0x70],0x0",write stack
hackme_read,0x72,ctx->rbp - 0x68,"MOV qword ptr [RBP + -0x68],0x0",write stack
hackme_read,0x7a,ctx->rbp - 0x60,"MOV qword ptr [RBP + -0x60],0x0",write stack
hackme_read,0x82,ctx->rbp - 0x58,"MOV qword ptr [RBP + -0x58],0x0",write stack
hackme_read,0x8a,ctx->rbp - 0x50,"MOV qword ptr [RBP + -0x50],0x0",write stack
hackme_read,0x92,ctx->rbp - 0x48,"MOV qword ptr [RBP + -0x48],0x0",write stack
hackme_read,0x9a,ctx->rbp - 0x40,"MOV qword ptr [RBP + -0x40],0x0",write stack
hackme_read,0xa2,ctx->rbp - 0x38,"MOV qword ptr [RBP + -0x38],0x0",write stack
hackme_read,0xaa,ctx->rbp - 0x30,"MOV qword ptr [RBP + -0x30],0x0",write stack
hackme_read,0xb2,ctx->rbp - 0x28,"MOV qword ptr [RBP + -0x28],0x0",write stack
hackme_read,0xf1,0xffffffff81c85630,CALL 0xffffffff81c85630,direct call
hackme_read,0x102,0xffffffff81c7f9c0,CALL 0xffffffff81c7f9c0,direct call
hackme_read,0x12c,0xffffffff81399170,CALL 0xffffffff81399170,direct call
hackme_read,0x14e,,RET,ret
hackme_read,0x14f,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
hackme_read,0xc8c791,0xffffffff81cb4d33,CALL 0xffffffff81cb4d33,direct call
trace_initcall_finish_cb,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
trace_initcall_finish_cb,0x17,0xffffffff81157c00,CALL 0xffffffff81157c00,direct call
trace_initcall_finish_cb,0x4d,0xffffffff81c9b7df,CALL 0xffffffff81c9b7df,direct call
trace_initcall_finish_cb,0x58,,RET,ret
perf_trace_initcall_level,0x1d,ctx->rbp - 0x30,"MOV qword ptr [RBP + -0x30],RAX",write stack
perf_trace_initcall_level,0x32,0xffffffff81c7f9a0,CALL 0xffffffff81c7f9a0,direct call
perf_trace_initcall_level,0x43,ctx->rbp - 0x44,"MOV dword ptr [RBP + -0x44],EAX",write stack
perf_trace_initcall_level,0x79,0xffffffff811e39c0,CALL 0xffffffff811e39c0,direct call
perf_trace_initcall_level,0x95,ctx->rax + 0x80,"MOV qword ptr [RAX + 0x80],RDX",write other [TODO]
perf_trace_initcall_level,0x9c,ctx->rax + 0x98,"MOV qword ptr [RAX + 0x98],RBP",write other [TODO]
perf_trace_initcall_level,0xa3,ctx->rax + 0x88,"MOV qword ptr [RAX + 0x88],0x10",write other [TODO]
perf_trace_initcall_level,0xae,ctx->rax + 0x90,"MOV qword ptr [RAX + 0x90],0x0",write other [TODO]
perf_trace_initcall_level,0xbc,ctx->r13 + 0x8,"MOV dword ptr [R13 + 0x8],EAX",write other [TODO]
perf_trace_initcall_level,0xc0,0xffffffff81c7f820,CALL 0xffffffff81c7f820,direct call
perf_trace_initcall_level,0xde,0xffffffff81269f40,CALL 0xffffffff81269f40,direct call
perf_trace_initcall_level,0x102,,RET,ret
perf_trace_initcall_level,0x111,ctx->rbp - 0x44,"MOV dword ptr [RBP + -0x44],0x7000c",write stack
perf_trace_initcall_level,0x12a,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
perf_trace_initcall_start,0x20,ctx->rbp - 0x20,"MOV qword ptr [RBP + -0x20],RAX",write stack
perf_trace_initcall_start,0x47,0xffffffff811e39c0,CALL 0xffffffff811e39c0,direct call
perf_trace_initcall_start,0x6d,ctx->r9 + 0x80,"MOV qword ptr [R9 + 0x80],RAX",write other [TODO]
perf_trace_initcall_start,0x74,ctx->r9 + 0x98,"MOV qword ptr [R9 + 0x98],RBP",write other [TODO]
perf_trace_initcall_start,0x7b,ctx->r9 + 0x88,"MOV qword ptr [R9 + 0x88],0x10",write other [TODO]
perf_trace_initcall_start,0x86,ctx->r9 + 0x90,"MOV qword ptr [R9 + 0x90],0x0",write other [TODO]
perf_trace_initcall_start,0x91,ctx->rdi + 0x8,"MOV qword ptr [RDI + 0x8],R13",write other [TODO]
perf_trace_initcall_start,0x98,0xffffffff81269f40,CALL 0xffffffff81269f40,direct call
perf_trace_initcall_start,0xb8,,RET,ret
perf_trace_initcall_start,0xc7,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
perf_trace_initcall_finish,0x25,ctx->rbp - 0x28,"MOV qword ptr [RBP + -0x28],RAX",write stack
perf_trace_initcall_finish,0x50,0xffffffff811e39c0,CALL 0xffffffff811e39c0,direct call
perf_trace_initcall_finish,0x76,ctx->r9 + 0x80,"MOV qword ptr [R9 + 0x80],RAX",write other [TODO]
perf_trace_initcall_finish,0x7d,ctx->r9 + 0x98,"MOV qword ptr [R9 + 0x98],RBP",write other [TODO]
perf_trace_initcall_finish,0x84,ctx->r9 + 0x88,"MOV qword ptr [R9 + 0x88],0x10",write other [TODO]
perf_trace_initcall_finish,0x8f,ctx->r9 + 0x90,"MOV qword ptr [R9 + 0x90],0x0",write other [TODO]
perf_trace_initcall_finish,0x9a,ctx->rdi + 0x8,"MOV qword ptr [RDI + 0x8],R14",write other [TODO]
perf_trace_initcall_finish,0x9e,ctx->rdi + 0x10,"MOV dword ptr [RDI + 0x10],R13D",write other [TODO]
perf_trace_initcall_finish,0xa5,0xffffffff81269f40,CALL 0xffffffff81269f40,direct call
perf_trace_initcall_finish,0xc7,,RET,ret
perf_trace_initcall_finish,0xd6,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
trace_event_raw_event_initcall_start,0x1a,ctx->rbp - 0x18,"MOV qword ptr [RBP + -0x18],RAX",write stack
trace_event_raw_event_initcall_start,0x35,0xffffffff811e07d0,CALL 0xffffffff811e07d0,direct call
trace_event_raw_event_initcall_start,0x3f,ctx->rax + 0x8,"MOV qword ptr [RAX + 0x8],RBX",write other [TODO]
trace_event_raw_event_initcall_start,0x47,0xffffffff811cb450,CALL 0xffffffff811cb450,direct call
trace_event_raw_event_initcall_start,0x63,,RET,ret
trace_event_raw_event_initcall_start,0x69,0xffffffff811e7070,CALL 0xffffffff811e7070,direct call
trace_event_raw_event_initcall_start,0x74,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
trace_event_raw_event_initcall_finish,0x1e,ctx->rbp - 0x20,"MOV qword ptr [RBP + -0x20],RAX",write stack
trace_event_raw_event_initcall_finish,0x39,0xffffffff811e07d0,CALL 0xffffffff811e07d0,direct call
trace_event_raw_event_initcall_finish,0x43,ctx->rax + 0x8,"MOV qword ptr [RAX + 0x8],R13",write other [TODO]
trace_event_raw_event_initcall_finish,0x4b,ctx->rax + 0x10,"MOV dword ptr [RAX + 0x10],EBX",write other [TODO]
trace_event_raw_event_initcall_finish,0x4e,0xffffffff811cb450,CALL 0xffffffff811cb450,direct call
trace_event_raw_event_initcall_finish,0x6c,,RET,ret
trace_event_raw_event_initcall_finish,0x72,0xffffffff811e7070,CALL 0xffffffff811e7070,direct call
trace_event_raw_event_initcall_finish,0x7d,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
trace_raw_output_initcall_level,0x14,0xffffffff811d0e90,CALL 0xffffffff811d0e90,direct call
trace_raw_output_initcall_level,0x22,,RET,ret
trace_raw_output_initcall_level,0x37,0xffffffff811d07d0,CALL 0xffffffff811d07d0,direct call
trace_raw_output_initcall_level,0x43,0xffffffff811c3880,CALL 0xffffffff811c3880,direct call
trace_raw_output_initcall_level,0x4c,,RET,ret
trace_raw_output_initcall_start,0x14,0xffffffff811d0e90,CALL 0xffffffff811d0e90,direct call
trace_raw_output_initcall_start,0x22,,RET,ret
trace_raw_output_initcall_start,0x32,0xffffffff811d07d0,CALL 0xffffffff811d07d0,direct call
trace_raw_output_initcall_start,0x3e,0xffffffff811c3880,CALL 0xffffffff811c3880,direct call
trace_raw_output_initcall_start,0x47,,RET,ret
trace_raw_output_initcall_finish,0x14,0xffffffff811d0e90,CALL 0xffffffff811d0e90,direct call
trace_raw_output_initcall_finish,0x22,,RET,ret
trace_raw_output_initcall_finish,0x37,0xffffffff811d07d0,CALL 0xffffffff811d07d0,direct call
trace_raw_output_initcall_finish,0x43,0xffffffff811c3880,CALL 0xffffffff811c3880,direct call
trace_raw_output_initcall_finish,0x4c,,RET,ret
__bpf_trace_initcall_level,0x4,0xffffffff811f94d0,CALL 0xffffffff811f94d0,direct call
__bpf_trace_initcall_level,0xa,,RET,ret
__bpf_trace_initcall_start,0x4,0xffffffff811f94d0,CALL 0xffffffff811f94d0,direct call
__bpf_trace_initcall_start,0xa,,RET,ret
__bpf_trace_initcall_finish,0x6,0xffffffff811f9590,CALL 0xffffffff811f9590,direct call
__bpf_trace_initcall_finish,0xc,,RET,ret
initcall_blacklisted,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
initcall_blacklisted,0x1a,ctx->rbp - 0x10,"MOV qword ptr [RBP + -0x10],RAX",write stack
initcall_blacklisted,0x37,0xffffffff81170040,CALL 0xffffffff81170040,direct call
initcall_blacklisted,0x4a,0xffffffff81606400,CALL 0xffffffff81606400,direct call
initcall_blacklisted,0x61,ctx->rbx,"MOV RBX,qword ptr [RBX]",write other [TODO]
initcall_blacklisted,0x6d,ctx->rsi,"MOV RSI,qword ptr [RBX + 0x10]",write other [TODO]
initcall_blacklisted,0x78,0xffffffff81c7f8c0,CALL 0xffffffff81c7f8c0,direct call
initcall_blacklisted,0x98,0xffffffff81634010,CALL 0xffffffff81634010,direct call
initcall_blacklisted,0xba,,RET,ret
initcall_blacklisted,0xc2,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
trace_event_raw_event_initcall_level,0x1c,ctx->rbp - 0x20,"MOV qword ptr [RBP + -0x20],RAX",write stack
trace_event_raw_event_initcall_level,0x33,0xffffffff81c7f9a0,CALL 0xffffffff81c7f9a0,direct call
trace_event_raw_event_initcall_level,0x51,0xffffffff811e07d0,CALL 0xffffffff811e07d0,direct call
trace_event_raw_event_initcall_level,0x5b,ctx->rax + 0x8,"MOV dword ptr [RAX + 0x8],EBX",write other [TODO]
trace_event_raw_event_initcall_level,0x65,0xffffffff81c7f820,CALL 0xffffffff81c7f820,direct call
trace_event_raw_event_initcall_level,0x6e,0xffffffff811cb450,CALL 0xffffffff811cb450,direct call
trace_event_raw_event_initcall_level,0x8c,,RET,ret
trace_event_raw_event_initcall_level,0xa5,0xffffffff811e7070,CALL 0xffffffff811e7070,direct call
trace_event_raw_event_initcall_level,0xb4,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
file_open,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
file_open,0xc,0xffffffff81362140,CALL 0xffffffff81362140,direct call
file_open,0x1e,,RET,ret
file_close,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
file_close,0xb,0xffffffff8135f340,CALL 0xffffffff8135f340,direct call
file_close,0x11,,RET,ret
get_pte_from_address,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
init_private_stacks,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
do_one_initcall,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
do_one_initcall,0x1e,ctx->rbp - 0x20,"MOV qword ptr [RBP + -0x20],RAX",write stack
do_one_initcall,0x31,0xffffffff81001110,CALL 0xffffffff81001110,direct call
do_one_initcall,0x43,ctx->r12,CALL R12,in-direct call
do_one_initcall,0x57,ctx->rbp - 0x60,"MOV byte ptr [RBP + -0x60],0x0",write stack
do_one_initcall,0x63,0xffffffff82e4b950,CALL qword ptr [0xffffffff82e4b950],in-direct call
do_one_initcall,0x9c,,RET,ret
do_one_initcall,0x140,ctx->rbp - 0x50,"MOV dword ptr [RBP + -0x50],0x65636e61",write stack
do_one_initcall,0x147,ctx->rbp - 0x60,"MOV qword ptr [RBP + -0x60],RAX",write stack
do_one_initcall,0x155,ctx->rbp - 0x58,"MOV qword ptr [RBP + -0x58],RAX",write stack
do_one_initcall,0x15e,ctx->wordctx->ptrctx->rbp - 0x4c,"MOV word ptr [RBP + -0x4c],AX",write stack
do_one_initcall,0x196,0xffffffff81c7ff50,CALL 0xffffffff81c7ff50,direct call
do_one_initcall,0x19b,0xffffffff82e4b960,CALL qword ptr [0xffffffff82e4b960],in-direct call
do_one_initcall,0x1b4,0xffffffff81c953d8,CALL 0xffffffff81c953d8,direct call
do_one_initcall,0x1cb,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
FUN_ffffffff810017a0,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
FUN_ffffffff810017a0,0x23,0xffffffff812f31e0,CALL 0xffffffff812f31e0,direct call
FUN_ffffffff810017a0,0x29,,RET,ret
match_dev_by_label,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
match_dev_by_label,0x1f,0xffffffff81c7f8c0,CALL 0xffffffff81c7f8c0,direct call
match_dev_by_label,0x2d,,RET,ret
match_dev_by_label,0x30,,RET,ret
match_dev_by_uuid,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
match_dev_by_uuid,0x1f,0xffffffff81c7ffd0,CALL 0xffffffff81c7ffd0,direct call
match_dev_by_uuid,0x2d,,RET,ret
match_dev_by_uuid,0x30,,RET,ret
rootfs_init_fs_context,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
rootfs_init_fs_context,0x12,0xffffffff814a6880,CALL 0xffffffff814a6880,direct call
rootfs_init_fs_context,0x18,,RET,ret
rootfs_init_fs_context,0x19,0xffffffff812a1a30,CALL 0xffffffff812a1a30,direct call
rootfs_init_fs_context,0x1f,,RET,ret
name_to_dev_t,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
name_to_dev_t,0x27,ctx->rbp - 0x28,"MOV qword ptr [RBP + -0x28],RAX",write stack
name_to_dev_t,0x2d,0xffffffff81c7f8c0,CALL 0xffffffff81c7f8c0,direct call
name_to_dev_t,0x4d,0xffffffff81c7f8c0,CALL 0xffffffff81c7f8c0,direct call
name_to_dev_t,0x6d,0xffffffff81c7f8c0,CALL 0xffffffff81c7f8c0,direct call
name_to_dev_t,0x92,0xffffffff81c7f8e0,CALL 0xffffffff81c7f8e0,direct call
name_to_dev_t,0xae,0xffffffff81c7f8e0,CALL 0xffffffff81c7f8e0,direct call
name_to_dev_t,0xca,0xffffffff81c7f8e0,CALL 0xffffffff81c7f8e0,direct call
name_to_dev_t,0xed,0xffffffff81c81a60,CALL 0xffffffff81c81a60,direct call
name_to_dev_t,0xfa,ctx->ecx,"MOV ECX,dword ptr [RBP + -0x60]",write other [TODO]
name_to_dev_t,0x140,,RET,ret
name_to_dev_t,0x15b,0xffffffff81c81a60,CALL 0xffffffff81c81a60,direct call
name_to_dev_t,0x171,0xffffffff81c80a20,CALL 0xffffffff81c80a20,direct call
name_to_dev_t,0x1a2,0xffffffff815b8af0,CALL 0xffffffff815b8af0,direct call
name_to_dev_t,0x1be,0xffffffff81c7f9a0,CALL 0xffffffff81c7f9a0,direct call
name_to_dev_t,0x1ec,ctx->rbp - 0x48,"MOV byte ptr [RBP + -0x48],DL",write stack
name_to_dev_t,0x206,ctx->r12,"MOV byte ptr [R12],0x21",write other [TODO]
name_to_dev_t,0x21e,0xffffffff815b8af0,CALL 0xffffffff815b8af0,direct call
name_to_dev_t,0x26f,0xffffffff81c80a20,CALL 0xffffffff81c80a20,direct call
name_to_dev_t,0x274,ctx->r12,"MOV byte ptr [R12],0x0",write other [TODO]
name_to_dev_t,0x281,0xffffffff815b8af0,CALL 0xffffffff815b8af0,direct call
name_to_dev_t,0x2b9,ctx->r12 - 0x1,"MOV byte ptr [R12 + -0x1],0x0",write other [TODO]
name_to_dev_t,0x2c5,0xffffffff815b8af0,CALL 0xffffffff815b8af0,direct call
name_to_dev_t,0x2d8,ctx->rbp - 0x5c,"MOV dword ptr [RBP + -0x5c],0x0",write stack
name_to_dev_t,0x2e2,ctx->rbp - 0x58,"MOV qword ptr [RBP + -0x58],R12",write stack
name_to_dev_t,0x2e6,0xffffffff81c7f910,CALL 0xffffffff81c7f910,direct call
name_to_dev_t,0x2ff,ctx->rbp - 0x60,"MOV byte ptr [RBP + -0x60],0x0",write stack
name_to_dev_t,0x30e,0xffffffff81c81a60,CALL 0xffffffff81c81a60,direct call
name_to_dev_t,0x31f,ctx->rbp - 0x50,"MOV dword ptr [RBP + -0x50],R13D",write stack
name_to_dev_t,0x342,0xffffffff817fafa0,CALL 0xffffffff817fafa0,direct call
name_to_dev_t,0x367,ctx->rbp - 0x6c,"MOV dword ptr [RBP + -0x6c],EAX",write stack
name_to_dev_t,0x36a,0xffffffff817f1560,CALL 0xffffffff817f1560,direct call
name_to_dev_t,0x38c,0xffffffff817fafa0,CALL 0xffffffff817fafa0,direct call
name_to_dev_t,0x3a5,ctx->rbp - 0x6c,"MOV dword ptr [RBP + -0x6c],EAX",write stack
name_to_dev_t,0x3a8,0xffffffff817f1560,CALL 0xffffffff817f1560,direct call
name_to_dev_t,0x3bf,ctx->r13 + ctx->rdx * 0x1 - 0x8,"MOV qword ptr [R13 + RDX*0x1 + -0x8],RCX",write other [TODO]
name_to_dev_t,0x3db,ctx->r13 + ctx->rcx * 0x1,"MOV qword ptr [R13 + RCX*0x1],RSI",write other [TODO]
name_to_dev_t,0x3ec,0xffffffff81c7f9a0,CALL 0xffffffff81c7f9a0,direct call
name_to_dev_t,0x3f1,ctx->rbp - 0x50,"MOV dword ptr [RBP + -0x50],EAX",write stack
name_to_dev_t,0x40d,0xffffffff815b8ab0,CALL 0xffffffff815b8ab0,direct call
name_to_dev_t,0x42b,ctx->rbp - 0x48,"MOV dword ptr [RBP + -0x48],EDX",write stack
name_to_dev_t,0x432,ctx->r13 + ctx->rax * 0x1 - 0x4,"MOV dword ptr [R13 + RAX*0x1 + -0x4],EDX",write other [TODO]
name_to_dev_t,0x443,ctx->wordctx->ptrctx->r13 + ctx->rax * 0x1 - 0x2,"MOV word ptr [R13 + RAX*0x1 + -0x2],DX",write other [TODO]
name_to_dev_t,0x44e,0xffffffff81d03750,CALL 0xffffffff81d03750,direct call
wait_for_initramfs,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
wait_for_initramfs,0x23,,RET,ret
wait_for_initramfs,0x2f,0xffffffff810d5a30,CALL 0xffffffff810d5a30,direct call
wait_for_initramfs,0x35,,RET,ret
FUN_ffffffff81001d10,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
FUN_ffffffff81001d10,0xc,,RET,ret
calibration_delay_done,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
calibration_delay_done,0xa,,RET,ret
calibrate_delay,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
calibrate_delay,0x30,ctx->rbp - 0x30,"MOV qword ptr [RBP + -0x30],RAX",write stack
calibrate_delay,0x48,ctx->rbp - 0x88,"MOV qword ptr [RBP + -0x88],RSI",write stack
calibrate_delay,0xce,0xffffffff81041260,CALL 0xffffffff81041260,direct call
calibrate_delay,0x10d,0xffffffff81c8a630,CALL 0xffffffff81c8a630,direct call
calibrate_delay,0x11a,ctx->rbp - 0x90,"MOV qword ptr [RBP + -0x90],0x0",write stack
calibrate_delay,0x12e,ctx->rbp - 0x98,"MOV qword ptr [RBP + -0x98],0x0",write stack
calibrate_delay,0x139,ctx->rbp - 0x9c,"MOV dword ptr [RBP + -0x9c],0xffffffff",write stack
calibrate_delay,0xc8b93f,0xffffffff81c9b7df,CALL 0xffffffff81c9b7df,direct call
calibrate_delay,0xc8b9a7,0xffffffff81c9b7df,CALL 0xffffffff81c9b7df,direct call
FUN_ffffffff8100203d,0x35,ctx->rbp - 0x90,"MOV qword ptr [RBP + -0x90],RAX",write stack
FUN_ffffffff8100203d,0x5f,ctx->rdi,"MOV RDI,R14",write other [TODO]
FUN_ffffffff8100203d,0x62,0xffffffff81c8a460,CALL 0xffffffff81c8a460,direct call
FUN_ffffffff8100203d,0x7e,ctx->rbp - 0x98,"MOV qword ptr [RBP + -0x98],R14",write stack
FUN_ffffffff8100203d,0x89,ctx->rbp - 0x90,"MOV qword ptr [RBP + -0x90],RDX",write stack
FUN_ffffffff8100203d,0xcf,0xffffffff81c8a460,CALL 0xffffffff81c8a460,direct call
FUN_ffffffff8100203d,0x106,ctx->rbp - 0x90,"MOV qword ptr [RBP + -0x90],R13",write stack
FUN_ffffffff81002157,-0x3be,ctx->rdx + ctx->rbx * 0x1,"MOV qword ptr [RDX + RBX*0x1],R15",write other [TODO]
FUN_ffffffff81002157,-0x2e0,ctx->rbp - 0x80,"MOV qword ptr [RBP + -0x80],0x0",write stack
FUN_ffffffff81002157,-0x2d5,0xffffffff81c8a630,CALL 0xffffffff81c8a630,direct call
FUN_ffffffff81002157,-0x2b1,ctx->rbp - 0x80,"MOV qword ptr [RBP + -0x80],RAX",write stack
FUN_ffffffff81002157,-0x2ad,0xffffffff81c8a630,CALL 0xffffffff81c8a630,direct call
FUN_ffffffff81002157,-0x294,0xffffffff81c8a630,CALL 0xffffffff81c8a630,direct call
FUN_ffffffff81002157,-0x284,ctx->rbp - 0x68,"MOV qword ptr [RBP + -0x68],R12",write stack
FUN_ffffffff81002157,-0x26e,0xffffffff81c8a630,CALL 0xffffffff81c8a630,direct call
